Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
11/19/2015,40.72,41.05,39.89,40.49,0.21,40.54,118326,79186
11/18/2015,41.11,41.55,39.91,40.67,0.08,40.75,239467,107622
11/17/2015,41.96,42.03,40.58,41.11,1.07,40.67,344236,184230
11/16/2015,40.92,42.25,40.06,42.04,1,41.74,519299,214795
11/13/2015,41.61,42.21,40.22,40.73,1.01,40.74,462560,233239
11/12/2015,43.05,43.33,41.54,41.6,1.18,41.75,526192,271096
11/11/2015,43.63,44.11,42.62,43.07,1.28,42.93,480006,314042
11/10/2015,44.1,44.76,43.57,43.63,0.34,44.21,415210,349121
11/9/2015,44.52,45.12,43.64,44.11,0.42,43.87,464099,400803
11/6/2015,45.41,45.64,44.11,44.52,0.91,44.29,480391,444366
11/5/2015,46.57,46.65,45.12,45.39,1.12,45.2,453719,463203
11/4/2015,47.74,48.28,46.17,46.58,1.58,46.32,453543,485518
11/3/2015,46.11,48.36,45.96,47.68,1.76,47.9,425194,493387
11/2/2015,46.43,46.73,45.56,46.08,0.45,46.14,302744,505296
10/30/2015,45.74,47.03,45.48,46.39,0.53,46.59,358472,511782
10/29/2015,46.06,46.79,45.16,45.75,0.12,46.06,431471,524430
10/28/2015,43.44,46.22,43.06,46.17,2.74,45.94,518771,530322
10/27/2015,43.78,43.91,42.58,43.39,0.78,43.2,363616,534536
10/26/2015,44.74,44.94,43.64,43.73,0.62,43.98,294245,527608
10/23/2015,45.44,45.75,44.2,44.73,0.78,44.6,400669,522907
10/22/2015,45.27,46.1,44.9,45.49,0.18,45.38,317819,522758
10/21/2015,45.88,46.08,44.86,45.26,1.09,45.2,376622,513129
10/20/2015,46.25,46.52,45.23,45.84,0.34,45.55,30638,24926
10/19/2015,47.27,47.49,45.85,46.19,1.37,45.89,113923,60949
10/16/2015,46.87,47.5,46.16,47.26,0.88,47.26,195516,89819
10/15/2015,46.28,47.02,45.23,46.86,0.26,46.38,357876,126954
10/14/2015,46.69,46.96,45.94,46.29,0.02,46.64,337279,150866
10/13/2015,47.46,48.43,46.44,46.57,0.44,46.66,450969,191987
10/12/2015,49.51,50.13,47.04,47.44,2.53,47.1,400040,236471
10/9/2015,49.69,50.92,49.17,49.49,0.2,49.63,488243,295296
10/8/2015,48.11,50.07,47.76,49.67,1.62,49.43,549123,348212
10/7/2015,49,49.71,47.7,48.13,0.72,47.81,522873,411111
10/6/2015,46.2,49.08,45.73,49.04,2.27,48.53,433651,424445
10/5/2015,45.65,46.94,45.21,46.2,0.72,46.26,317476,431407
10/2/2015,45.07,45.81,43.97,45.66,0.8,45.54,411394,434715
10/1/2015,45.38,47.1,44.63,45.02,0.35,44.74,476558,440630
9/30/2015,44.92,45.85,44.68,45.34,0.14,45.09,353607,448642
9/29/2015,44.5,45.7,44.3,44.89,0.8,45.23,263601,449964
9/28/2015,45.38,45.5,44.3,44.48,1.27,44.43,272621,456297
9/25/2015,45.05,46.38,44.86,45.34,0.79,45.7,335785,455137
9/24/2015,44.62,45.18,43.71,45.1,0.43,44.91,367690,449524
9/23/2015,46.54,47.15,44.41,44.61,1.88,44.48,409359,456794
9/22/2015,46.45,46.48,45.14,46.17,0.85,45.83,21530,17642
9/21/2015,44.97,46.74,44.69,46.48,2,46.68,98340,49704
9/18/2015,46.89,47.03,44.24,44.98,2.22,44.68,209351,71524
9/17/2015,47.13,47.71,46.33,46.9,0.25,46.9,351640,125113
9/16/2015,45.16,47.35,44.82,47.13,2.56,47.15,403794,139701
9/15/2015,44.11,45.25,43.92,45.15,0.59,44.59,326422,159910
9/14/2015,44.78,44.97,43.59,44.12,0.63,44,315517,199874
9/11/2015,45.71,45.88,44.16,44.78,1.29,44.63,378161,239586
9/10/2015,44.16,46.04,43.36,45.73,1.77,45.92,472330,279402
9/9/2015,45.79,46.26,44.05,44.11,1.79,44.15,406046,327703
9/8/2015,45.82,46.41,44.14,45.73,0.11,45.94,490483,375040
9/4/2015,46.68,47.23,45.61,45.77,0.7,46.05,381433,392092
9/3/2015,46.11,48.42,45.65,46.69,0.5,46.75,531745,401614
9/2/2015,44.26,46.77,43.21,46.05,0.84,46.25,683388,410922
9/1/2015,48.1,48.87,44.15,44.19,3.79,45.41,699384,446046
8/31/2015,45,49.33,43.6,48.16,3.98,49.2,753385,440212
8/28/2015,42.68,45.9,41.78,45.33,2.66,45.22,662312,444409
8/27/2015,38.96,42.86,38.95,42.78,3.96,42.56,531068,438571
8/26/2015,39.69,39.86,38.52,38.88,0.71,38.6,366127,449091
8/25/2015,38.18,39.89,38.16,39.64,1.07,39.31,371707,451548
8/24/2015,40.3,40.47,37.75,38.06,2.21,38.24,462304,462982
8/21/2015,41.03,41.4,39.86,40.29,0.87,40.45,374913,466273
8/20/2015,40.58,41.48,40.21,40.94,0.34,41.14,19143,13960
8/19/2015,42.41,42.68,40.4,40.55,1.82,40.8,97285,52709
8/18/2015,41.88,42.9,41.43,42.37,0.75,42.62,188755,79927
8/17/2015,42.18,42.69,41.64,41.88,0.63,41.87,305173,138948
8/14/2015,42.23,42.96,41.35,42.18,0.27,42.5,305078,164463
8/13/2015,43.34,43.72,41.91,42.2,1.07,42.23,455073,197048
8/12/2015,43.27,43.87,42.8,43.31,0.22,43.3,522843,242080
8/11/2015,44.81,45.34,42.69,43.25,1.88,43.08,514352,304576
8/10/2015,43.58,45.01,43.35,44.83,1.09,44.96,469299,384492
8/7/2015,44.82,45.16,43.7,43.75,0.79,43.87,382978,455323
8/6/2015,45.16,45.27,44.2,44.84,0.49,44.66,340858,483086
8/5/2015,45.96,46.7,44.83,45.11,0.59,45.15,362458,482180
8/4/2015,45.35,46.23,45.29,45.97,0.57,45.74,283185,496581
8/3/2015,46.86,46.94,45.08,45.3,1.95,45.17,389877,504271
7/31/2015,48.47,48.62,46.7,46.77,1.4,47.12,328276,508226
7/30/2015,48.83,49.36,48.34,48.44,0.27,48.52,245534,514209
7/29/2015,47.81,49.52,47.39,48.89,0.81,48.79,366067,509654
7/28/2015,47.02,48.44,46.68,47.77,0.59,47.98,332921,505394
7/27/2015,48,48.2,46.91,46.98,0.75,47.39,271671,502179
7/24/2015,48.79,49.03,47.72,47.96,0.31,48.14,275449,509457
7/23/2015,49.23,49.63,48.21,48.85,0.74,48.45,313355,509959
7/22/2015,50.71,50.71,49.04,49.2,1.67,49.19,343762,508314
7/21/2015,49.95,51.02,49.77,50.59,0.21,50.36,18924,16937
7/20/2015,50.76,51.26,49.85,49.94,0.74,50.15,97540,49900
7/17/2015,50.91,51.23,50.14,50.78,0.02,50.89,200548,69575
7/16/2015,51.62,52.17,50.84,50.92,0.5,50.91,311981,128193
7/15/2015,53.4,53.5,51.21,51.61,1.63,51.41,319169,150815
7/14/2015,52,53.43,50.88,53.37,0.84,53.04,418204,170566
7/13/2015,52.15,53.17,51.26,52.01,0.54,52.2,350089,207929
7/10/2015,52.48,53.89,51.96,52.84,0.04,52.74,331718,246612
7/9/2015,51.83,53.54,51.48,52.59,1.13,52.78,364773,280445
7/8/2015,52.91,52.96,50.91,51.8,0.68,51.65,417903,314632
7/7/2015,52.75,53.43,50.58,52.95,0.2,52.33,505948,319366
7/6/2015,54.9,56.79,52.41,52.68,4.4,52.53,455935,323662
7/2/2015,56.87,57.95,56.5,56.93,0.03,56.93,297046,326973
7/1/2015,58.98,58.98,56.68,56.96,2.51,56.96,373405,319172
6/30/2015,58.27,59.69,57.94,59.4,1.14,59.47,282364,331764
6/29/2015,58.84,59.27,58.04,58.33,1.3,58.33,286035,332326
6/26/2015,59.66,59.96,58.76,59.63,0.07,59.63,231868,329016
6/25/2015,60.22,60.46,59.43,59.7,0.57,59.7,222341,330042
6/24/2015,61.14,61.57,59.8,60.27,0.74,60.27,312960,338243
6/23/2015,60.21,61.49,59.55,61.01,0.63,61.01,336224,332929
6/22/2015,59.44,60.3,58.93,59.2,0.07,59.68,26737,19582
6/19/2015,60.5,60.56,58.88,59.61,0.84,59.61,116656,46092
6/18/2015,59.78,60.89,59.25,60.45,0.53,60.45,181875,66622
6/17/2015,60.03,61.38,58.85,59.92,0.05,59.92,395462,92954
6/16/2015,59.6,60.37,59.42,59.97,0.45,59.97,233621,110232
6/15/2015,59.9,59.98,58.73,59.52,0.44,59.52,275115,136961
6/12/2015,60.55,60.63,59.73,59.96,0.81,59.96,246486,149983
6/11/2015,61.14,61.53,60.21,60.77,0.66,60.77,352345,190185
6/10/2015,60.58,61.82,60.45,61.43,1.29,61.43,459615,228108
6/9/2015,58.31,60.68,58.23,60.14,2,60.14,405385,271926
6/8/2015,58.96,59.13,57.86,58.14,0.99,58.14,339787,320038
6/5/2015,57.99,59.23,56.83,59.13,1.13,59.13,461012,355370
6/4/2015,59.57,59.94,57.83,58,1.64,58,363353,355247
6/3/2015,61.02,61.43,59.34,59.64,1.62,59.64,371298,370176
6/2/2015,60.18,61.58,60.09,61.26,1.06,61.26,344508,372076
6/1/2015,60.29,60.64,59.33,60.2,0.1,60.2,292085,389811
5/29/2015,57.97,60.7,57.72,60.3,2.62,60.3,451935,399553
5/28/2015,57.63,58.07,56.51,57.68,0.17,57.68,340602,397862
5/27/2015,58.32,58.95,57.36,57.51,0.52,57.51,329388,405472
5/26/2015,60.05,60.25,57.71,58.03,1.69,58.03,345262,418738
5/22/2015,60.66,60.8,59.35,59.72,1,59.72,248666,432754
5/21/2015,58.81,60.94,58.69,60.72,1.74,60.72,346607,439497
5/20/2015,58.32,59.04,58.1,58.98,0.99,58.98,302952,446845
5/19/2015,59.54,59.63,57.09,57.45,2.17,57.26,30298,21319
5/18/2015,59.85,60.88,59.06,59.43,0.26,59.43,144389,73396
5/15/2015,59.67,59.97,58.42,59.69,0.19,59.69,222089,95274
5/14/2015,60.1,60.84,59.36,59.88,0.62,59.88,358495,165577
5/13/2015,61.23,61.85,60.02,60.5,0.25,60.5,426770,207603
5/12/2015,59.27,61.36,59.12,60.75,1.5,60.75,397244,239092
5/11/2015,59.43,59.85,58.75,59.25,0.14,59.25,332725,277755
5/8/2015,59.02,59.9,58.14,59.39,0.45,59.39,434575,317625
5/7/2015,60.69,61.31,58.49,58.94,1.99,58.94,437126,361434
5/6/2015,60.72,62.58,60.54,60.93,0.53,60.93,423480,380717
5/5/2015,58.95,61.1,58.63,60.4,1.47,60.4,389803,400321
5/4/2015,59.3,59.73,58.45,58.93,0.22,58.93,215044,404717
5/1/2015,59.79,59.9,58.32,59.05,0.48,59.15,244752,425000
4/30/2015,58.55,59.85,58.38,59.6,1.05,59.63,340317,426816
4/29/2015,56.93,59.33,56.54,58.6,1.52,58.58,411321,421193
4/28/2015,56.65,57.83,56.07,57.06,0.07,57.06,281864,424309
4/27/2015,57.3,57.89,56.52,56.99,0.16,56.99,250558,426707
4/24/2015,57.53,57.95,56.5,57.15,0.59,57.15,343177,440126
4/23/2015,56.28,58.41,55.76,57.74,1.58,57.74,415569,428255
4/22/2015,56.34,57.19,55.73,56.16,0.45,56.16,329631,434424
4/21/2015,56.41,56.91,55.01,55.5,1.12,55.26,29599,22254
4/20/2015,56.16,57.17,54.85,56.38,0.64,56.38,112382,58190
4/17/2015,56.56,56.88,55.31,55.74,0.97,55.74,230623,85071
4/16/2015,55.92,57.42,55.07,56.71,0.32,56.71,412740,132536
4/15/2015,53.55,56.69,53.39,56.39,3.1,56.39,508793,165956
4/14/2015,52.05,53.79,51.83,53.45,1.38,53.29,430276,201606
4/13/2015,51.81,53.1,51.47,51.91,0.27,51.91,375534,232250
4/10/2015,50.73,51.93,50.08,51.64,0.85,51.64,395135,284295
4/9/2015,51,52.07,50.51,50.79,0.37,50.79,449531,336102
4/8/2015,53.18,53.23,50.37,50.42,3.56,50.42,552721,411524
4/7/2015,51.95,54.13,51.17,53.98,1.84,53.98,548744,439250
4/6/2015,49.47,52.24,49.47,52.14,3,52.14,325282,439276
4/2/2015,49.59,50.27,48.11,49.14,0.95,49.14,453184,461361
4/1/2015,47.55,50.45,47.05,50.09,2.49,50.09,451104,471923
3/31/2015,48.73,48.73,47.28,47.6,1.08,47.6,365743,479356
3/30/2015,48.57,49.16,47.61,48.68,0.19,48.68,355866,482507
3/27/2015,51.01,51.38,48.21,48.87,2.56,48.87,384123,507568
3/26/2015,49.02,52.48,48.73,51.43,2.22,51.43,515277,521512
3/25/2015,47.72,49.46,47,49.21,1.7,49.21,398795,523027
3/24/2015,47.46,48.56,46.67,47.51,0.06,47.51,309553,529039
3/23/2015,46.41,47.61,45.33,47.45,0.88,47.45,292217,527303
3/20/2015,43.99,46.53,43.31,45.85,1.76,45.72,26749,18019
3/19/2015,44.6,44.71,42.75,43.96,0.7,43.96,106907,48951
3/18/2015,42.51,45.34,42.03,44.66,1.2,44.66,220638,73542
3/17/2015,43.84,44.2,42.41,43.46,0.42,43.46,345340,123139
3/16/2015,44.81,45,42.85,43.88,0.96,43.88,366969,139207
3/13/2015,46.93,47.28,44.75,44.84,2.21,44.84,395433,159596
3/12/2015,48.44,48.76,46.86,47.05,1.12,47.05,358324,181658
3/11/2015,48.77,49.05,47.33,48.17,0.12,48.17,404575,215728
3/10/2015,50.08,50.36,48.2,48.29,1.71,48.29,395730,251098
3/9/2015,49.6,50.79,49.25,50,0.39,50,409875,302172
3/6/2015,50.89,51.22,48.88,49.61,1.15,49.61,407459,339273
3/5/2015,51.62,52.4,50.61,50.76,0.77,50.76,370953,354820
3/4/2015,50.61,51.99,49.6,51.53,1.01,51.53,463989,373277
3/3/2015,49.8,50.83,49.45,50.52,0.93,50.52,370597,381560
3/2/2015,49.45,51.04,48.71,49.59,0.17,49.59,427177,407565
